time;queries_in_system;time_in_queues;rejected_connections;parallel_query;load_ratio;TZ00:00
2025-05-22T08:13:10Z00:00;0;0;0;0;0.00;
2025-05-22T08:13:40Z00:00;0;0;0;0;0.00;
2025-05-22T08:14:10Z00:00;0;0;0;0;0.00;
2025-05-22T08:14:40Z00:00;0;0;0;0;0.00;
2025-05-22T08:15:10Z00:00;0;0;0;0;0.00;
2025-05-22T08:15:40Z00:00;0;0;0;0;0.00;
2025-05-22T08:16:10Z00:00;0;0;0;0;0.00;
2025-05-22T08:16:40Z00:00;0;0;0;0;0.00;
2025-05-22T08:17:10Z00:00;0;0;0;0;0.00;
2025-05-22T08:17:40Z00:00;0;0;0;0;0.00;
2025-05-22T08:18:10Z00:00;0;0;0;0;0.00;
2025-05-22T08:18:40Z00:00;0;0;0;0;0.00;
2025-05-22T08:19:10Z00:00;0;0;0;0;0.00;
2025-05-22T08:19:40Z00:00;0;0;0;0;0.00;
2025-05-22T08:20:10Z00:00;0;0;0;0;0.00;
2025-05-22T08:20:40Z00:00;0;0;0;0;0.00;
2025-05-22T08:21:10Z00:00;0;0;0;0;0.00;
2025-05-22T08:21:40Z00:00;0;0;0;0;0.00;
2025-05-22T08:22:10Z00:00;0;0;0;0;0.00;
2025-05-22T08:22:40Z00:00;0;0;0;0;0.00;
2025-05-22T08:23:10Z00:00;0;0;0;0;0.00;
2025-05-22T08:23:40Z00:00;0;0;0;0;0.00;
2025-05-22T08:24:10Z00:00;0;0;0;0;0.00;
2025-05-22T08:24:40Z00:00;0;0;0;0;0.00;
2025-05-22T08:25:10Z00:00;0;0;0;0;0.00;
2025-05-22T08:25:40Z00:00;0;0;0;0;0.00;
2025-05-22T08:26:10Z00:00;0;0;0;0;0.00;
2025-05-22T08:26:40Z00:00;0;0;0;0;0.00;
2025-05-22T08:27:10Z00:00;0;0;0;0;0.00;
2025-05-22T08:27:40Z00:00;0;0;0;0;0.00;
2025-05-22T08:28:10Z00:00;0;0;0;0;0.00;
2025-05-22T08:28:40Z00:00;0;0;0;0;0.00;
2025-05-22T08:29:10Z00:00;0;0;0;0;0.00;
2025-05-22T08:29:40Z00:00;0;0;0;0;0.00;
2025-05-22T08:30:10Z00:00;0;0;0;0;0.00;
2025-05-22T08:30:40Z00:00;0;0;0;0;0.00;
2025-05-22T08:31:10Z00:00;0;0;0;0;0.00;
2025-05-22T08:31:40Z00:00;0;0;0;0;0.00;
2025-05-22T08:32:10Z00:00;0;0;0;0;0.00;
2025-05-22T08:32:40Z00:00;0;0;0;0;0.00;
2025-05-22T08:33:10Z00:00;0;0;0;0;0.00;
2025-05-22T08:33:40Z00:00;0;0;0;0;0.00;
2025-05-22T08:34:10Z00:00;0;0;0;0;0.00;
2025-05-22T08:34:40Z00:00;0;0;0;0;0.00;
2025-05-22T08:35:10Z00:00;0;0;0;0;0.00;
2025-05-22T08:35:40Z00:00;0;0;0;0;0.00;
2025-05-22T08:36:10Z00:00;0;0;0;0;0.00;
2025-05-22T08:36:40Z00:00;219;348;0;128;2.00;
2025-05-22T08:37:10Z00:00;126;5;0;126;1.97;
2025-05-22T08:37:40Z00:00;131;8;0;128;2.00;
2025-05-22T08:38:10Z00:00;163;107;0;128;2.00;
2025-05-22T08:38:40Z00:00;141;17;0;128;2.00;
2025-05-22T08:39:10Z00:00;139;16;0;128;2.00;
2025-05-22T08:39:40Z00:00;129;3;0;128;2.00;
2025-05-22T08:40:10Z00:00;127;2;0;127;1.98;
2025-05-22T08:40:40Z00:00;180;196;0;128;2.00;
2025-05-22T08:41:10Z00:00;80;2;0;80;1.25;
2025-05-22T08:41:40Z00:00;91;6;0;91;1.42;
2025-05-22T08:42:10Z00:00;95;4;0;94;1.47;
2025-05-22T08:42:40Z00:00;146;7;0;128;2.00;
2025-05-22T08:43:10Z00:00;281;1124;0;128;2.00;
2025-05-22T08:43:40Z00:00;110;5;0;110;1.72;
2025-05-22T08:44:10Z00:00;192;273;0;128;2.00;
2025-05-22T08:44:40Z00:00;125;15;0;125;1.95;
2025-05-22T08:45:10Z00:00;188;222;0;128;2.00;
2025-05-22T08:45:40Z00:00;172;155;0;128;2.00;
2025-05-22T08:46:10Z00:00;98;4;0;98;1.53;
2025-05-22T08:46:40Z00:00;108;8;0;108;1.69;
2025-05-22T08:47:10Z00:00;169;135;0;128;2.00;
2025-05-22T08:47:40Z00:00;85;4;0;85;1.33;
2025-05-22T08:48:10Z00:00;107;5;0;107;1.67;
2025-05-22T08:48:40Z00:00;93;4;0;93;1.45;
2025-05-22T08:49:10Z00:00;103;4;0;102;1.59;
2025-05-22T08:49:40Z00:00;126;3;0;126;1.97;
2025-05-22T08:50:10Z00:00;152;98;0;128;2.00;
2025-05-22T08:50:40Z00:00;135;13;0;128;2.00;
2025-05-22T08:51:10Z00:00;106;6;0;106;1.66;
2025-05-22T08:51:40Z00:00;97;5;0;97;1.52;
2025-05-22T08:52:10Z00:00;117;5;0;117;1.83;
2025-05-22T08:52:40Z00:00;104;4;0;104;1.62;
2025-05-22T08:53:10Z00:00;75;6;0;75;1.17;
2025-05-22T08:53:40Z00:00;117;4;0;116;1.81;
2025-05-22T08:54:10Z00:00;113;6;0;113;1.77;
2025-05-22T08:54:40Z00:00;132;14;0;128;2.00;
2025-05-22T08:55:10Z00:00;69;2;0;69;1.08;
